claim,required_reannotation,label,justification,claim_date,speaker,original_claim_url,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies,questions,cached_original_claim_url
WHO estimates that fewer than 10% of mentally ill Nigerians have access to the care they need.,TRUE,Supported,"From the study conducted and also the treatments given, the claim is seen to be true",10/10/19,,https://web.archive.org/web/20201217182533/https://www.aljazeera.com/economy/2019/10/2/nigeria-has-a-mental-health-problem,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],['Written Evidence'],"[{'question': 'what kind of help are people with mental health problems in Nigeria getting?', 'answers': [{'answer': 'One that is not appropriate for the cause and inhumane', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20201126181530/https://www.altnews.in/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20201126181530/https://www.altnews.in/'}]}, {'question': 'Where does the 10% figure come from regarding Nigerians not getting sufficient mental health care?', 'answers': [{'answer': 'It was from a study on mental health published in 2004', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210927232621/https://africacheck.org/sites/default/files/Demyttenaere2004JAMA.pdf', 'source_medium': 'PDF', 'cached_source_url': 'https://web.archive.org/web/20210927232621/https://africacheck.org/sites/default/files/Demyttenaere2004JAMA.pdf'}]}, {'question': 'Has mental health care improved in Nigeria since 2004?', 'answers': [{'answer': 'A 2019 report states Detention, chaining, and violent treatment are pervasive in many settings, including state hospitals, rehabilitation centers, traditional healing centers, and both Christian and Islamic faith-based facilities.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210122193424/https://www.hrw.org/news/2019/11/11/nigeria-people-mental-health-conditions-chained-abused', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210122193424/https://www.hrw.org/news/2019/11/11/nigeria-people-mental-health-conditions-chained-abused'}]}]",https://web.archive.org/web/20201217182533/https://www.aljazeera.com/economy/2019/10/2/nigeria-has-a-mental-health-problem
Nigeria has Africa's highest rate of depression.,TRUE,Refuted,The Q&As show that there are other countries in Africa with a higher percentage so the claim is refuted.,10/10/19, Socrates Mbamalu,https://web.archive.org/web/20201217182533/https://www.aljazeera.com/economy/2019/10/2/nigeria-has-a-mental-health-problem,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera report.,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']","[{'question': ""According to the World Health Organisation's Global Health Estimates what percentage of Nigeria's population suffers from depression?"", 'answers': [{'answer': ""According to the statistics in the report, 3.9% of Nigeria's  population were suffering from depression in 2015."", 'answer_type': 'Abstractive', 'source_url': 'WHO-MSD-MER-2017.2-eng.pdf', 'source_medium': 'PDF', 'cached_source_url': 'WHO-MSD-MER-2017.2-eng.pdf'}]}, {'question': 'What countries in Africa are recorded as having populations suffering from depression with higher percentages than Nigeria?', 'answers': [{'answer': ""Cape Verde's population has the highest percentage suffering from depression (4.9%), followed by  Lesotho (4.8%), Botswana (4.7%), and Ethiopia (4.7%)."", 'answer_type': 'Abstractive', 'source_url': 'WHO-MSD-MER-2017.2-eng.pdf', 'source_medium': 'PDF', 'cached_source_url': 'WHO-MSD-MER-2017.2-eng.pdf'}]}, {'question': 'What was the population of Nigeria in 2019?', 'answers': [{'answer': 'In its 2019 state of the world population report the United Nations Population Fund (UNFPA) says Nigeria’s population has hit a new high of 201 million.', 'answer_type': 'Extractive', 'source_url': 'https://www.thecable.ng/just-in-nigerias-population-hits-201m', 'source_medium': 'Image/graphic', 'cached_source_url': 'https://web.archive.org/web/20230602191037/https://www.thecable.ng/just-in-nigerias-population-hits-201m'}]}, {'question': ""Has WHO released any later statistics in connection with the amount of depression in Nigeria's population?"", 'answers': [{'answer': 'A tweet from WHO dated 17 April 2019, says:\nOver 7,000,000 Nigerians are depressed.\n(3.48% of the population in 2019)', 'answer_type': 'Abstractive', 'source_url': 'https://twitter.com/whonigeria/status/1118425586257551361', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230602191119/https://twitter.com/whonigeria/status/1118425586257551361'}]}, {'question': 'What was the percentage of the population with depression in Cape Verde,  Lesotho , Botswana and Ethiopia in the year of the claim, ie 2019?', 'answers': [{'answer': 'No answer could be found.', 'answer_type': 'Unanswerable', 'source_url': '', 'source_medium': ''}]}, {'question': 'Do any countries in Africa have  populations suffering from depression with higher percentages than Nigeria?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'WHO-MSD-MER-2017.2-eng.pdf', 'source_medium': 'PDF', 'boolean_explanation': ""Cape Verde's population has the highest percentage suffering from depression (4.9%), followed by  Lesotho (4.8%), Botswana (4.7%), and Ethiopia (4.7%)."", 'cached_source_url': 'WHO-MSD-MER-2017.2-eng.pdf'}]}, {'question': 'Does Nigeria have the highest rate of depression as a share of population compared to any other African countries?', 'answers': [{'answer': 'As a share of the population, at least 24 other countries in Africa have a higher rate of depression than Nigeria’s 3.9%.', 'answer_type': 'Abstractive', 'source_url': 'https://apps.who.int/iris/bitstream/handle/10665/254610/WHO-MSD-MER-2017.2-eng.pdf', 'source_medium': 'PDF', 'cached_source_url': 'https://web.archive.org/web/20230518094157/https://apps.who.int/iris/bitstream/handle/10665/254610/WHO-MSD-MER-2017.2-eng.pdf'}]}]",https://web.archive.org/web/20201217182533/https://www.aljazeera.com/economy/2019/10/2/nigeria-has-a-mental-health-problem
"Nigeria has an estimated physician-patient ratio of one doctor to every 4,000 to 5,000 patients.",TRUE,Supported,"Confirmed in QA pair stating a mathematical ration of 40,000 in 200 million as 1 in 5000",10/10/19,Socrates Mbamalu,https://web.archive.org/web/20201217182533/https://www.aljazeera.com/economy/2019/10/2/nigeria-has-a-mental-health-problem,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,,"['Position Statement', 'Numerical Claim']",['Consultation'],"[{'question': ""What is Nigeria's estimated physician-patient ratio of one doctor to patients?"", 'answers': [{'answer': 'In regards to Psychiatry, the doctor/patient ratio was 1:870 (One Psychiatrist).', 'answer_type': 'Abstractive', 'source_url': 'https://www.walshmedicalmedia.com/open-access/doctor-to-patient-ratio-and-infrastructure-gap-in-a-psychiatric-hospital-in-oil-rich-eket-nigeria-2378-5756-1000356.pdf', 'source_medium': 'PDF', 'cached_source_url': 'https://web.archive.org/web/20230602191206/https://www.walshmedicalmedia.com/open-access/doctor-to-patient-ratio-and-infrastructure-gap-in-a-psychiatric-hospital-in-oil-rich-eket-nigeria-2378-5756-1000356.pdf'}, {'answer': 'There are also less than 30,000 doctors in Nigeria today [27], and the approximate average doctor:patient ratio of 1:53,333', 'answer_type': 'Extractive', 'source_url': 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168835', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230602191301/https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0168835'}]}, {'question': 'What is the estimated number of doctors in Nigeria?', 'answers': [{'answer': '40,000 doctors', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210209105132/https://punchng.com/nma-nard-tell-ngige-youre-wrong-as-only-40000-doctors-care-for-200m-people-in-nigeria/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210209105132/https://punchng.com/nma-nard-tell-ngige-youre-wrong-as-only-40000-doctors-care-for-200m-people-in-nigeria/'}]}, {'question': 'How many patients do the 40,000 doctors in Nigeria look after?', 'answers': [{'answer': '40,000 doctors taking care of 200 million people.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210209105132/https://punchng.com/nma-nard-tell-ngige-youre-wrong-as-only-40000-doctors-care-for-200m-people-in-nigeria/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210209105132/https://punchng.com/nma-nard-tell-ngige-youre-wrong-as-only-40000-doctors-care-for-200m-people-in-nigeria/'}]}, {'question': ""What is the latest estimate of Nigeria's population?"", 'answers': [{'answer': ""As on July 1, 2019, the UN's population division estimates the population at 200.9 million."", 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210128054137/https://population.un.org/wpp/Download/Standard/Population/', 'source_medium': 'Other', 'cached_source_url': 'https://web.archive.org/web/20210128054137/https://population.un.org/wpp/Download/Standard/Population/'}]}, {'question': 'What is the ratio for 40,000 to 200 million?', 'answers': [{'answer': '40, 000 doctors taking care of 200.9 million patients equates to 1:5000 (1 doctor per 5000 people as claimed)', 'answer_type': 'Abstractive', 'source_url': 'https://www.theonlinecalculator.com/', 'source_medium': 'Other', 'cached_source_url': 'https://web.archive.org/web/20230326224348/https://www.theonlinecalculator.com/'}]}, {'question': ""What is the WHO's recommendation for doctor patient ratio?"", 'answers': [{'answer': 'the World Health Organisation, WHO, recommends one doctor to 600 patients,', 'answer_type': 'Extractive', 'source_url': 'https://www.vanguardngr.com/2017/01/one-doctor-still-attends-6000-patients-nigeria-don/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230602191419/https://www.vanguardngr.com/2017/01/one-doctor-still-attends-6000-patients-nigeria-don/'}]}]",https://web.archive.org/web/20201217182533/https://www.aljazeera.com/economy/2019/10/2/nigeria-has-a-mental-health-problem
"Joe Biden wants to abolish the ""stepped up basis"" that currently reduces inheritance taxes.",FALSE,Supported,The QA source link to a media report verifies that this claim is correct.,9/10/19,Joe Biden,https://abcnews.go.com/Politics/biden-pitches-years-free-community-college-higher-education/story?id=66144894,https://web.archive.org/web/20210327011812/https://www.politifact.com/factchecks/2020/oct/29/facebook-posts/yes-biden-seeks-eliminate-policy-reduces-inheritan/,ABC News,US,['Position Statement'],"['Written Evidence', 'Fact-checker Reference']","[{'question': 'Does Joe Biden want to remove a policy that reduces inheritance taxes?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20210212141701/https://abcnews.go.com/Politics/biden-pitches-years-free-community-college-higher-education/story?id=66144894', 'source_medium': 'Web text', 'boolean_explanation': 'Joe Biden wants to eliminate the stepped-up basis loophole, a type of break on inheritance taxes.', 'cached_source_url': 'https://web.archive.org/web/20210212141701/https://abcnews.go.com/Politics/biden-pitches-years-free-community-college-higher-education/story?id=66144894'}]}, {'question': 'What is a stepped-up basis?', 'answers': [{'answer': '...a special rule for inherited property known as the step-up in basis rule. Here’s how it works: David inherits a house from his uncle who bought the house in 1982 for $70,000. The home was worth $800,000 at the time of his uncle’s death. If David decides to sell the house, his basis will be $800,000 so he will only be taxed on the difference between what he sold it for and his new stepped-up basis of $800,000.', 'answer_type': 'Extractive', 'source_url': 'https://www.financialalternatives.com/financial-alternatives-inc/2014/step-up-in-basis-rule-common-mistakes', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230602191640/https://www.financialalternatives.com/financial-alternatives-inc/2014/step-up-in-basis-rule-common-mistakes'}]}]",https://web.archive.org/web/20230602191529/https://abcnews.go.com/Politics/biden-pitches-years-free-community-college-higher-education/story?id=66144894
US food standards allow for insect fragments in peanut butter.,FALSE,Supported,Average of 30 or more insect fragments per 100 grams.,7/10/19,Barry Gardiner,https://labour.org.uk/press/rat-hairs-paprika-insect-fragments-peanut-butter-rat-droppings-ginger-reality-boris-johnsons-trade-deal-trump-2/,https://web.archive.org/web/20210119121441/https://fullfact.org/health/food-poisoning-US-UK/,Labour Party,US,['Event/Property Claim'],['Written Evidence'],"[{'question': ""What is the US Food and Drug Administration's (FDA) allowed level for insect fragments in peanut butter?"", 'answers': [{'answer': 'Average of 30 or more insect fragments per 100 grams.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210115175505/https://www.fda.gov/food/ingredients-additives-gras-packaging-guidance-documents-regulatory-information/food-defect-levels-handbook', 'source_medium': 'Web table', 'cached_source_url': 'https://web.archive.org/web/20210115175505/https://www.fda.gov/food/ingredients-additives-gras-packaging-guidance-documents-regulatory-information/food-defect-levels-handbook'}]}]",https://web.archive.org/web/20230602192016/https://labour.org.uk/press/rat-hairs-paprika-insect-fragments-peanut-butter-rat-droppings-ginger-reality-boris-johnsons-trade-deal-trump-2/
US food standards allow for maggots in orange juice.,TRUE,Supported,1 maggot per 250ml is allowed/ deemed acceptable.,7/10/19,Barry Gardiner,https://labour.org.uk/press/rat-hairs-paprika-insect-fragments-peanut-butter-rat-droppings-ginger-reality-boris-johnsons-trade-deal-trump-2/,https://web.archive.org/web/20210119121441/https://fullfact.org/health/food-poisoning-US-UK/,Labour Party,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'what is the allowed food defect in orange juice', 'answers': [{'answer': 'Citrus Fruit Juices, Canned\n\nMold\n(AOAC 970.75)\n\nAverage mold count is 10% or more\n\nInsects and insect eggs\n(AOAC 970.72)\n\n5 or more Drosophila and other fly eggs per 250 ml or 1 or more maggots per 250 ml', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210115175505/https://www.fda.gov/food/ingredients-additives-gras-packaging-guidance-documents-regulatory-information/food-defect-levels-handbook', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210115175505/https://www.fda.gov/food/ingredients-additives-gras-packaging-guidance-documents-regulatory-information/food-defect-levels-handbook'}]}, {'question': 'does this food defect pose a threat to health', 'answers': [{'answer': 'These ""Food Defect Action Levels"" listed in this booklet are set on this premise--that they pose no inherent hazard to health.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210115175505/https://www.fda.gov/food/ingredients-additives-gras-packaging-guidance-documents-regulatory-information/food-defect-levels-handbook', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210115175505/https://www.fda.gov/food/ingredients-additives-gras-packaging-guidance-documents-regulatory-information/food-defect-levels-handbook'}]}, {'question': 'Does US FDA allow for maggots to be present in consumer orange juice?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20210115175505/https://www.fda.gov/food/ingredients-additives-gras-packaging-guidance-documents-regulatory-information/food-defect-levels-handbook', 'source_medium': 'Web text', 'boolean_explanation': '1 or more maggots per 250 ml', 'cached_source_url': 'https://web.archive.org/web/20210115175505/https://www.fda.gov/food/ingredients-additives-gras-packaging-guidance-documents-regulatory-information/food-defect-levels-handbook'}]}]",https://web.archive.org/web/20230602192016/https://labour.org.uk/press/rat-hairs-paprika-insect-fragments-peanut-butter-rat-droppings-ginger-reality-boris-johnsons-trade-deal-trump-2/
"""New Starbucks CEO"" Rosalind Brewer admits she doesn't like white people?",TRUE,Refuted,Rosalind Brewer main problem was about too many white men in corporate America. Not hating on all white people. ,6/10/19,,https://thelapost.com/2019/10/06/the-new-starbucks-ceo-has-admitted-she-doesnt-like-white-people/,https://web.archive.org/web/20210721123845/https://leadstories.com/hoax-alert/2019/10/fake-news-the-new-starbucks-ceo-has-admitted-she-doesnt-like-white-people.html,LA Post,US,['Position Statement'],['Written Evidence'],"[{'question': 'Who is Rosalind Brewer?', 'answers': [{'answer': 'Rosalind G. Brewer is an American businesswoman and the first African American woman to become chief operations officer (COO) of Starbucks.\nAfter retiring from Walmart on February 1, 2017 she accepted the COO role at Starbucks.', 'answer_type': 'Extractive', 'source_url': 'https://www.blackpast.org/african-american-history/brewer-rosalind-g-1962/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230602192711/https://www.blackpast.org/african-american-history/brewer-rosalind-g-1962/'}, {'answer': 'Rosalind G. Brewer is chief operations officer (COO) of Starbucks.', 'answer_type': 'Extractive', 'source_url': 'https://www.blackpast.org/african-american-history/brewer-rosalind-g-1962/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230602192711/https://www.blackpast.org/african-american-history/brewer-rosalind-g-1962/'}]}, {'question': 'What is the basis of this claim?', 'answers': [{'answer': 'A 2015 CNN interview where she discussed the importance of workforce diversity.', 'answer_type': 'Abstractive', 'source_url': 'https://www.businessinsider.com/sams-club-ceo-accused-of-racism-after-cnn-interview-2015-12?r=US&IR=T', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230602192819/https://www.businessinsider.com/sams-club-ceo-accused-of-racism-after-cnn-interview-2015-12?r=US&IR=T'}]}, {'question': 'What did Brewer say?', 'answers': [{'answer': '""My executive team is very diverse, and I make that a priority,"" she told Harlow. ""I demand it of my team and within the structure. And then, every now and then, you have to nudge your partners, and you have to speak up and speak out. And I try to use my platform for that. ... I try to set an example. I try to mentor many women inside my company and outside the company because I think it\'s important.\n\n""And I talk to my suppliers about it. Just today we met with a supplier, and the entire other side of the table was all Caucasian males. That was interesting. I decided not to talk about it directly with [the supplier\'s] folks in the room because there were actually no females, like, levels down. So I\'m going to place a call to him.""', 'answer_type': 'Extractive', 'source_url': 'https://www.youtube.com/watch?v=6VDfT_5Z1N0', 'source_medium': 'Video', 'cached_source_url': 'https://web.archive.org/web/20230602193051/https://www.youtube.com/watch?v=6VDfT_5Z1N0&gl=US&hl=en'}]}, {'question': 'Who is the CEO of Starbucks?', 'answers': [{'answer': 'Kevin Johnson\npresident and chief executive officer', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210613171525/https://stories.starbucks.com/leadership/kevin-johnson/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210613171525/https://stories.starbucks.com/leadership/kevin-johnson/'}]}, {'question': 'What do the accusations of not liking white people stem from?', 'answers': [{'answer': 'From an interview she gave CNN in 2015, in which she seemed to have a problem with too many white men in corporate America.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20191208034018/https://thelapost.com/2019/10/06/the-new-starbucks-ceo-has-admitted-she-doesnt-like-white-people/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20191208034018/https://thelapost.com/2019/10/06/the-new-starbucks-ceo-has-admitted-she-doesnt-like-white-people/'}]}]",https://web.archive.org/web/20230603150317/http://ww38.thelapost.com/2019/10/06/the-new-starbucks-ceo-has-admitted-she-doesnt-like-white-people/
Mental health illness in Nigeria is abundant with one in four of the population suffering from a disorder.,FALSE,Not Enough Evidence,The claim does not make mention of the year such a study was carried out,2/10/19,Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://www.who.int/news-room/events/detail/2019/10/10/default-calendar/world-mental-health-day-2019-focus-on-suicide-prevention,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison', 'Consultation']","[{'question': 'When was the largest nationally representative study on mental Health in Nigeria published?', 'answers': [{'answer': '2004', 'answer_type': 'Extractive', 'source_url': 'https://africacheck.org/sites/default/files/Demyttenaere2004JAMA.pdf', 'source_medium': 'PDF', 'cached_source_url': 'https://web.archive.org/web/20230602184632/https://africacheck.org/sites/default/files/Demyttenaere2004JAMA.pdf'}]}, {'question': 'What percentage of Nigerians suffer from depression?', 'answers': [{'answer': 'The World Health Organisation (WHO) estimates that four percent of Nigerians suffer from depression. However this is an estimate.', 'answer_type': 'Extractive', 'source_url': 'https://nigeriahealthwatch.com/mental-health-the-danger-of-nigerias-single-story/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230603150821/https://articles.nigeriahealthwatch.com/mental-health-the-danger-of-nigerias-single-story/'}]}]",https://web.archive.org/web/20210127230319/https://www.who.int/news-room/events/detail/2019/10/10/default-calendar/world-mental-health-day-2019-focus-on-suicide-prevention
"In 2018, Yaba Psychiatric Hospital had a budget of 133 million Nairas, but less than 10% of that amount, or 13 million Nairas, was released by the federal government.",FALSE,Not Enough Evidence,budget amount is way over quoted in claim but url for source does not work to confirm and answer 2 does not provide details.,2/10/19,Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']","[{'question': ""What was Yaba Psychiatric Hospital's budget in 2018?"", 'answers': [{'answer': '3.3 billion naira', 'answer_type': 'Abstractive', 'source_url': 'https://africacheck.org/wp-content/uploads/2019/11/2018-Budget-Final-for-PRINTING-PDF-COPY-10_compressed.pdf#page=729', 'source_medium': 'PDF'}]}, {'question': 'How much money was released by the federal government for Yaba Psychiatric Hospital?', 'answers': [{'answer': 'No answer could be found.', 'answer_type': 'Unanswerable', 'source_url': '', 'source_medium': ''}]}]",https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html
"In Nigeria, the physician to patient ratio is one doctor to every 4,000 to 5,000 patients.",FALSE,Supported,The third source and answer show that the numbers in the claim are correct so the claim is supported.,2/10/19,Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison', 'Consultation']","[{'question': 'How many Physicians are there in Nigeria?', 'answers': [{'answer': '40,000.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210209105132/https://punchng.com/nma-nard-tell-ngige-youre-wrong-as-only-40000-doctors-care-for-200m-people-in-nigeria/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210209105132/https://punchng.com/nma-nard-tell-ngige-youre-wrong-as-only-40000-doctors-care-for-200m-people-in-nigeria/'}]}, {'question': 'What is the population in Nigeria?', 'answers': [{'answer': 'Estimated 200.9 Million.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210128054137/https://population.un.org/wpp/Download/Standard/Population/', 'source_medium': 'Other', 'cached_source_url': 'https://web.archive.org/web/20210128054137/https://population.un.org/wpp/Download/Standard/Population/'}]}, {'question': 'How many physicians are there every 4000 to 5000 patients on average?', 'answers': [{'answer': 'Only one medical doctor is available to cater for every 4,845 Nigerians, the official data sourced by PREMIUM TIMES show.', 'answer_type': 'Extractive', 'source_url': 'https://www.premiumtimesng.com/health/health-investigations/309633-its-official-nigeria-gravely-lacks-doctors-to-address-citizens-health-needs.html', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230602185005/https://www.premiumtimesng.com/health/health-investigations/309633-its-official-nigeria-gravely-lacks-doctors-to-address-citizens-health-needs.html'}]}]",https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html
"The physician to patient ratio in Nigeria of one doctor to every 4,000 to 5,000 patients is six times smaller than the World Health Organisation's recommendation of one physician to every 600 patients.",FALSE,Refuted,The WHO does not have a recommendation regarding ratio of drs to patients so the claim is refuted.,2/10/19,Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']","[{'question': 'Has WHO recommended a doctor to patient ratio ?', 'answers': [{'answer': 'The agency had not prescribed any ideal ratio of healthcare workers to population.\n\nhe concept of a healthcare worker to population ratio appears to have leapt out of the 2004 findings of the Joint Learning Initiative, a Harvard University-backed network of global health leaders. The report suggested that a density of 2.5 workers per 1,000 people would help reduce deaths of children and mothers. But it did not set this as a general healthcare staffing goal.\n\n(page 13)', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20200706231159/https://www.who.int/hrh/documents/JLi_hrh_report.pdf#page=34', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20200706231159/https://www.who.int/hrh/documents/JLi_hrh_report.pdf#page=34'}]}]",https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html
Nigeria is fifth in the world rankings for the frequency of suicides.,FALSE,Refuted,The answer and source shows that Nigeria is not fifth so the claim is refuted.,2/10/19,Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison', 'Consultation']","[{'question': 'What were the top 5 countries for suicide frequency in the world?', 'answers': [{'answer': 'Lesotho, Guyana, Swaziland,  Kiribat and Micronesia.', 'answer_type': 'Extractive', 'source_url': 'https://www.worldlifeexpectancy.com/cause-of-death/suicide/by-country/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230425033232/https://www.worldlifeexpectancy.com/cause-of-death/suicide/by-country/'}]}, {'question': ""What is Nigeria's ranking in the suicide rates list?"", 'answers': [{'answer': '117', 'answer_type': 'Extractive', 'source_url': 'https://www.worldlifeexpectancy.com/cause-of-death/suicide/by-country/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230425033232/https://www.worldlifeexpectancy.com/cause-of-death/suicide/by-country/'}]}]",https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html
The World Health Organisation estimates that fewer than 10% of Nigerians suffering from mental health disorders have access to the care that they need.,FALSE,Supported,"In Nigeria People who are suffering from mental health disorders, usually do not get the help they need. There is a large absence of  quality   mental health care services and facilities for Nigerians suffering from mental health disorder. ",2/10/19,Socrates Mbamalu,https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html,https://web.archive.org/web/20210127230319/https://africacheck.org/fact-checks/reports/fact-checked-al-jazeeras-claims-about-nigerias-mental-health-problem,Al Jazeera,NG,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison', 'Consultation']","[{'question': 'Did Nigerians suffering from mental health disorders have access to the care that they needed in 2019?', 'answers': [{'answer': 'A study on mental health published in 2004. showed that those with severe forms of anxiety and depression and substance abuse rarely get any treatment at all for their conditions,', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210927232621/https://africacheck.org/sites/default/files/Demyttenaere2004JAMA.pdf', 'source_medium': 'PDF', 'cached_source_url': 'https://web.archive.org/web/20210927232621/https://africacheck.org/sites/default/files/Demyttenaere2004JAMA.pdf'}]}, {'question': 'Does Nigeria have a good amount of mental health services?', 'answers': [{'answer': 'It has an abysmal lack of mental health services in the country', 'answer_type': 'Extractive', 'source_url': 'https://healththink.org/five-facts-every-nigerian-should-know-about-depression/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230603151239/https://healththink.org/five-facts-every-nigerian-should-know-about-depression/'}]}]",https://web.archive.org/web/20210127230319/https://www.aljazeera.com/ajimpact/nigeria-mental-health-problem-191002210913630.html
